
在位置 84 发现不同:  文件1: 16.5126 文件2: 13.0434
在位置 85 发现不同:  文件1: 6.53995 文件2: 8.79987
在位置 86 发现不同:  文件1: 145.061 文件2: 25.1889
在位置 87 发现不同:  文件1: 155.199 文件2: 17.9411
在位置 168 发现不同:  文件1: 23.6839 文件2: 25.0191
在位置 169 发现不同:  文件1: 2.86002 文件2: 7.68393
在位置 170 发现不同:  文件1: 15.5073 文件2: 46.2001
在位置 171 发现不同:  文件1: 53.9582 文件2: 15.5073
在位置 252 发现不同:  文件1: 30.8001 文件2: 28.7566
在位置 253 发现不同:  文件1: 0.836159 文件2: 7.47364
在位置 254 发现不同:  文件1: 172.386 文件2: 53.1915
在位置 255 发现不同:  文件1: 143.595 文件2: 15.1236
在位置 336 发现不同:  文件1: 37.7684 文件2: 34.1878
在位置 337 发现不同:  文件1: 1.95773 文件2: 6.05767
在位置 338 发现不同:  文件1: 57.8708 文件2: 57.9587
在位置 339 发现不同:  文件1: 12.3916 文件2: 12.3608
在位置 420 发现不同:  文件1: 42.7713 文件2: 41.7405
在位置 421 发现不同:  文件1: -0.0529976 文件2: 5.36801
在位置 422 发现不同:  文件1: 140.27 文件2: 56.8887
在位置 423 发现不同:  文件1: 168.117 文件2: 11.0431
在位置 504 发现不同:  文件1: 51.0154 文件2: 49.8083
在位置 505 发现不同:  文件1: 2.98517 文件2: 5.00055
在位置 506 发现不同:  文件1: 10.4274 文件2: 60.6237
在位置 507 发现不同:  文件1: 84.4358 文件2: 10.3955
在位置 588 发现不同:  文件1: 56.2013 文件2: 58.9853
在位置 589 发现不同:  文件1: 7.61471 文件2: 5.60568
在位置 590 发现不同:  文件1: 139.651 文件2: 84.4365
在位置 591 发现不同:  文件1: 150.455 文件2: 11.6697
在位置 672 发现不同:  文件1: 62.0632 文件2: 67.1914
在位置 673 发现不同:  文件1: 7.49048 文件2: 6.2632
在位置 674 发现不同:  文件1: 95.7538 文件2: 98.5526
在位置 675 发现不同:  文件1: 15.8078 文件2: 13.2528
在位置 756 发现不同:  文件1: 76.2523 文件2: 70.0631
在位置 757 发现不同:  文件1: 1.22795 文件2: 7.4905
在位置 758 发现不同:  文件1: 154.32 文件2: 95.7548
在位置 759 发现不同:  文件1: 150.121 文件2: 15.8078
在位置 840 发现不同:  文件1: 90.2143 文件2: 72.5676
在位置 841 发现不同:  文件1: -3.96737 文件2: 8.28733
在位置 842 发现不同:  文件1: 21.5973 文件2: 82.4406
在位置 843 发现不同:  文件1: 38.5133 文件2: 17.6856
在位置 925 发现不同:  文件1: -1.16204 文件2: 10.2143
在位置 926 发现不同:  文件1: 159.794 文件2: 62.4219
在位置 927 发现不同:  文件1: 146.527 文件2: 21.5973
在位置 1008 发现不同:  文件1: 99.1269 文件2: 108.718
在位置 1009 发现不同:  文件1: -0.349231 文件2: 8.93557
在位置 1010 发现不同:  文件1: 45.9409 文件2: 40.0149
在位置 1011 发现不同:  文件1: 16.9335 文件2: 18.3293
在位置 1092 发现不同:  文件1: 103.823 文件2: 113.398
在位置 1093 发现不同:  文件1: 1.43761 文件2: 8.37351
在位置 1094 发现不同:  文件1: 145.084 文件2: 36.8916
在位置 1095 发现不同:  文件1: 145.35 文件2: 16.885
在位置 1176 发现不同:  文件1: 112.377 文件2: 113.028
在位置 1177 发现不同:  文件1: 9.16425 文件2: 8.37954
在位置 1178 发现不同:  文件1: 15.5506 文件2: 38.2517
在位置 1179 发现不同:  文件1: 41.9289 文件2: 16.9941
在位置 1260 发现不同:  文件1: 123.669 文件2: 120.69
在位置 1261 发现不同:  文件1: 8.47813 文件2: 7.64469
在位置 1262 发现不同:  文件1: 161.681 文件2: 23.0966
在位置 1263 发现不同:  文件1: 146.486 文件2: 15.5062
在位置 1344 发现不同:  文件1: 124.259 文件2: 137.164
在位置 1345 发现不同:  文件1: 9.66402 文件2: 8.74688
在位置 1346 发现不同:  文件1: 49.412 文件2: 41.9289
在位置 1347 发现不同:  文件1: 19.826 文件2: 17.7993
在位置 1428 发现不同:  文件1: 146.823 文件2: 138.264
在位置 1429 发现不同:  文件1: 3.59722 文件2: 8.95229
在位置 1430 发现不同:  文件1: 150.072 文件2: 43.3371
在位置 1431 发现不同:  文件1: 150.672 文件2: 17.9501
在位置 1512 发现不同:  文件1: 153.588 文件2: 140.259
在位置 1513 发现不同:  文件1: -6.21629 文件2: 9.66402
在位置 1514 发现不同:  文件1: 19.5056 文件2: 49.4122
在位置 1515 发现不同:  文件1: 48.2333 文件2: 19.826
在位置 1596 发现不同:  文件1: 156.849 文件2: 162.43
在位置 1597 发现不同:  文件1: 3.35794 文件2: 11.3857
在位置 1598 发现不同:  文件1: 161.944 文件2: 27.5881
在位置 1599 发现不同:  文件1: 138.159 文件2: 23.1295
在位置 1680 发现不同:  文件1: 160.917 文件2: 174.991
在位置 1681 发现不同:  文件1: 3.87917 文件2: 9.58818
在位置 1682 发现不同:  文件1: 60.5703 文件2: 46.6852
在位置 1683 发现不同:  文件1: 8.39396 文件2: 19.5055
在位置 1764 发现不同:  文件1: 170.788 文件2: 179.403
在位置 1765 发现不同:  文件1: -1.67546 文件2: 4.14113
在位置 1766 发现不同:  文件1: 140.728 文件2: 42.6076
在位置 1767 发现不同:  文件1: 163.668 文件2: 8.50677
在位置 1848 发现不同:  文件1: 179.321 文件2: 186.006
在位置 1849 发现不同:  文件1: 8.66441 文件2: 4.09565
在位置 1850 发现不同:  文件1: 9.72267 文件2: 54.7254
在位置 1851 发现不同:  文件1: 89.8767 文件2: 8.4443
在位置 1932 发现不同:  文件1: 181.334 文件2: 194.732
在位置 1933 发现不同:  文件1: 6.18368 文件2: 4.26267
在位置 1934 发现不同:  文件1: 158.449 文件2: 67.8665
在位置 1935 发现不同:  文件1: 144.567 文件2: 8.67766
在位置 2016 发现不同:  文件1: 195.804 文件2: 202.433
在位置 2017 发现不同:  文件1: 4.39432 文件2: 4.69508
在位置 2018 发现不同:  文件1: 88.9744 文件2: 77.8457
在位置 2019 发现不同:  文件1: 8.89166 文件2: 9.69038
在位置 2100 发现不同:  文件1: 204.92 文件2: 208.664
在位置 2101 发现不同:  文件1: 4.64267 文件2: 4.93069
在位置 2102 发现不同:  文件1: 140.902 文件2: 89.8772
在位置 2103 发现不同:  文件1: 138.95 文件2: 10.2262
在位置 2184 发现不同:  文件1: 210.87 文件2: 212.297
在位置 2185 发现不同:  文件1: 1.62341 文件2: 4.81283
在位置 2186 发现不同:  文件1: 5.74156 文件2: 94.6179
在位置 2187 发现不同:  文件1: 26.1956 文件2: 9.90498
在位置 2268 发现不同:  文件1: 229.93 文件2: 219.804
在位置 2269 发现不同:  文件1: 0.845131 文件2: 4.39433
在位置 2270 发现不同:  文件1: 128.591 文件2: 88.975
在位置 2271 发现不同:  文件1: 142.627 文件2: 8.8917
在位置 2352 发现不同:  文件1: 205.619 文件2: 231.677
在位置 2353 发现不同:  文件1: 4.41898 文件2: 3.35182
在位置 2354 发现不同:  文件1: 82.6263 文件2: 65.212
在位置 2355 发现不同:  文件1: 7.15287 文件2: 6.81429
在位置 2436 发现不同:  文件1: 230.569 文件2: 240.371
在位置 2437 发现不同:  文件1: -22.5295 文件2: 2.87004
在位置 2438 发现不同:  文件1: 147.759 文件2: 22.207
在位置 2439 发现不同:  文件1: 121.14 文件2: 5.74157
在位置 2520 发现不同:  文件1: 243.41 文件2: 266.044
在位置 2521 发现不同:  文件1: 13.583 文件2: 3.16262
在位置 2522 发现不同:  文件1: 9.20621 文件2: 65.5306
在位置 2523 发现不同:  文件1: 80.9844 文件2: 6.30411
在位置 2604 发现不同:  文件1: 245.47 文件2: 278.126
在位置 2605 发现不同:  文件1: 4.26216 文件2: 3.57964
在位置 2606 发现不同:  文件1: 166.41 文件2: 75.1362
在位置 2607 发现不同:  文件1: 137.362 文件2: 7.1557
在位置 2688 发现不同:  文件1: 255.97 文件2: 284.822
在位置 2689 发现不同:  文件1: 3.46925 文件2: 4.32585
在位置 2690 发现不同:  文件1: 56.0685 文件2: 87.5096
在位置 2691 发现不同:  文件1: 6.93052 文件2: 8.64252
在位置 2772 发现不同:  文件1: 266.902 文件2: 288.734
在位置 2773 发现不同:  文件1: 2.71533 文件2: 4.60254
在位置 2774 发现不同:  文件1: 133.797 文件2: 95.1194
在位置 2775 发现不同:  文件1: 150.457 文件2: 9.18089
在位置 2856 发现不同:  文件1: 274.732 文件2: 285.583
在位置 2857 发现不同:  文件1: 0.405607 文件2: 4.3368
在位置 2858 发现不同:  文件1: 5.50854 文件2: 80.9845
在位置 2859 发现不同:  文件1: 14.0354 文件2: 8.70007
在位置 2940 发现不同:  文件1: 285.578 文件2: 282.408
在位置 2941 发现不同:  文件1: 5.08991 文件2: 3.52927
在位置 2942 发现不同:  文件1: 147.12 文件2: 55.7016
在位置 2943 发现不同:  文件1: 133.915 文件2: 7.10289
在位置 3024 发现不同:  文件1: 288.983 文件2: 287.97
在位置 3025 发现不同:  文件1: 4.18798 文件2: 3.46926
在位置 3026 发现不同:  文件1: 18.9676 文件2: 56.0686
在位置 3027 发现不同:  文件1: 7.67129 文件2: 6.93052
在位置 3108 发现不同:  文件1: 299.461 文件2: 303.747
在位置 3109 发现不同:  文件1: 6.35966 文件2: 2.88766
在位置 3110 发现不同:  文件1: 137.073 文件2: 17.9817
在位置 3111 发现不同:  文件1: 143.473 文件2: 5.76381
在位置 3192 发现不同:  文件1: 306.624 文件2: 308.316
在位置 3193 发现不同:  文件1: 5.46064 文件2: 2.73179
在位置 3194 发现不同:  文件1: 10.7053 文件2: 20.5921
在位置 3195 发现不同:  文件1: 19.3771 文件2: 5.50856
在位置 3276 发现不同:  文件1: 311.933 文件2: 318.281
在位置 3277 发现不同:  文件1: 7.79401 文件2: 2.9128
在位置 3278 发现不同:  文件1: 144.485 文件2: 11.4083
在位置 3279 发现不同:  文件1: 143.514 文件2: 5.90825
在位置 3360 发现不同:  文件1: 333.227 文件2: 324.662
在位置 3361 发现不同:  文件1: 11.9564 文件2: 3.80239
在位置 3362 发现不同:  文件1: 34.3524 文件2: 23.6761
在位置 3363 发现不同:  文件1: 24.0464 文件2: 7.69051
在位置 3444 发现不同:  文件1: 340.443 文件2: 331.988
在位置 3445 发现不同:  文件1: 6.63864 文件2: 4.52545
在位置 3446 发现不同:  文件1: 152.697 文件2: 12.9097
在位置 3447 发现不同:  文件1: 168.355 文件2: 9.09815
在位置 3528 发现不同:  文件1: 348.316 文件2: 342.355
在位置 3529 发现不同:  文件1: 1.49226 文件2: 5.36869
在位置 3530 发现不同:  文件1: 24.6591 文件2: 15.5775
在位置 3531 发现不同:  文件1: 13.2282 文件2: 10.7204
在位置 3612 发现不同:  文件1: 342.272 文件2: 349.461
在位置 3613 发现不同:  文件1: -4.94191 文件2: 7.06694
在位置 3614 发现不同:  文件1: 163.709 文件2: 19.3772
在位置 3615 发现不同:  文件1: 153.799 文件2: 14.0866
在位置 3696 发现不同:  文件1: 357.936 文件2: 351.918
在位置 3697 发现不同:  文件1: -4.68346 文件2: 7.79856
在位置 3698 发现不同:  文件1: 35.5033 文件2: 16.5192
在位置 3699 发现不同:  文件1: 25.2602 文件2: 15.5213
在位置 3780 发现不同:  文件1: 355.585 文件2: 373.227
在位置 3781 发现不同:  文件1: -5.65055 文件2: 11.9564
在位置 3782 发现不同:  文件1: 152.65 文件2: 34.3523
在位置 3783 发现不同:  文件1: 155.529 文件2: 24.0465
在位置 3864 发现不同:  文件1: 364.77 文件2: 373.76
在位置 3865 发现不同:  文件1: -0.315629 文件2: 12.4429
在位置 3866 发现不同:  文件1: 22.5035 文件2: 31.9697
在位置 3867 发现不同:  文件1: 21.569 文件2: 24.7416
在位置 3948 发现不同:  文件1: 379.033 文件2: 372.925
在位置 3949 发现不同:  文件1: 8.5306 文件2: 12.316
在位置 3950 发现不同:  文件1: 176.036 文件2: 32.3937
在位置 3951 发现不同:  文件1: 145.92 文件2: 24.6591
